0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.386,0.37,0.368,0.366,0.366,0.367,0.369,0.359,0.358,0.687,0.538,0.686,0.531,0.683,0.575,0.687,0.691,0.698,1.336,1.207,1.078,1.316,1.314,1.315,1.317,1.144,1.148,4.742,2.291,2.113,2.176,2.579,2.178,2.589,3.306,3.157
0.388,0.37,0.368,0.366,0.366,0.367,0.371,0.358,0.402,0.688,0.69,0.672,0.65,0.681,0.683,0.545,0.689,0.632,1.234,1.071,1.319,1.315,1.314,1.315,1.317,1.326,1.331,4.455,2.089,2.56,2.052,2.578,2.343,2.413,3.306,2.75
0.386,0.368,0.361,0.284,0.366,0.367,0.369,0.359,0.4,0.651,0.689,0.685,0.682,0.683,0.682,0.535,0.691,0.697,1.335,1.332,1.319,1.315,1.314,1.315,1.316,1.326,1.332,4.432,2.578,2.58,2.222,2.389,2.579,2.29,3.308,2.908
0.388,0.37,0.368,0.364,0.364,0.367,0.371,0.347,0.403,0.688,0.537,0.686,0.683,0.683,0.683,0.559,0.689,0.697,1.335,1.331,1.318,1.315,1.251,1.315,1.094,1.052,1.044,4.49,2.577,2.557,2.578,2.579,2.579,2.59,3.088,3.02
0.382,0.337,0.367,0.365,0.366,0.367,0.352,0.359,0.401,0.687,0.689,0.685,0.681,0.684,0.596,0.688,0.691,0.697,1.078,1.331,1.32,1.189,1.314,1.316,1.316,1.326,1.331,4.434,2.293,2.578,2.551,2.527,2.294,2.321,3.256,3.305
0.388,0.371,0.368,0.364,0.327,0.365,0.371,0.358,0.403,0.687,0.691,0.686,0.683,0.541,0.683,0.686,0.689,0.697,1.335,1.33,1.32,1.316,1.315,1.031,1.316,1.084,1.306,4.433,2.294,2.069,2.577,2.41,2.152,2.59,3.305,3.1
0.386,0.368,0.325,0.366,0.284,0.367,0.371,0.359,0.403,0.686,0.689,0.685,0.681,0.539,0.61,0.688,0.691,0.698,1.129,1.233,1.225,1.315,1.314,1.316,1.278,1.243,1.331,2.22,2.536,2.517,2.578,2.291,2.031,2.343,3.307,3.305
0.388,0.287,0.368,0.351,0.354,0.331,0.288,0.355,0.401,0.686,0.691,0.686,0.683,0.684,0.683,0.686,0.689,0.697,1.335,1.27,1.32,1.316,1.313,1.316,1.317,1.326,1.331,2.465,2.582,2.578,2.577,2.578,2.294,2.216,2.943,3.138
0.386,0.363,0.34,0.366,0.365,0.285,0.371,0.279,0.402,0.688,0.689,0.685,0.681,0.659,0.682,0.688,0.691,0.698,1.335,1.241,1.32,1.316,1.19,1.316,1.302,1.326,1.331,2.561,2.082,2.577,2.291,2.578,2.58,2.089,3.307,3.306
0.388,0.37,0.37,0.366,0.366,0.366,0.371,0.359,0.4,0.685,0.69,0.685,0.531,0.683,0.683,0.6,0.674,0.697,1.335,1.106,1.198,1.316,1.314,1.225,1.317,1.215,1.283,2.397,4.974,2.579,2.292,2.577,2.579,2.534,3.013,2.905
