2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
2.196,2.518,2.275,2.51,2.509,2.513,1.972,2.519,3.046,1.18,1.263,1.257,1.255,1.205,1.258,1.264,1.177,1.268,2.482,0.609,0.605,0.602,0.6,0.601,0.605,0.607,2.176,2.181,0.227,0.296,0.293,0.293,0.295,0.228,2.479,2.2
2.382,2.519,2.422,2.458,2.509,2.39,2.119,2.337,2.724,1.28,1.056,1.198,1.255,1.058,1.258,1.229,1.028,1.138,2.48,0.609,0.606,0.604,0.601,0.603,0.607,0.511,1.941,2.121,0.292,0.296,0.295,0.294,0.295,0.293,2.479,2.486
2.152,2.441,1.996,2.51,2.395,2.246,2.497,2.517,3.297,1.075,1.264,1.257,1.255,1.201,1.184,1.264,1.269,0.997,2.212,0.61,0.605,0.602,0.6,0.601,0.605,0.607,2.056,2.18,0.292,0.296,0.229,0.293,0.296,0.293,2.479,2.2
2.197,2.454,2.233,2.511,2.509,2.361,2.136,2.428,3.011,1.068,1.263,1.257,1.255,1.256,1.258,1.222,1.013,1.271,2.074,0.608,0.606,0.604,0.601,0.603,0.607,0.605,2.176,2.178,0.292,0.296,0.295,0.294,0.295,0.292,2.482,2.199
2.483,2.519,2.478,2.104,2.108,2.513,2.48,2.23,3.012,1.28,1.195,1.257,1.255,1.192,1.258,1.264,1.109,1.271,2.219,0.61,0.605,0.602,0.6,0.601,0.605,0.471,2.176,2.182,0.29,0.294,0.294,0.293,0.296,0.293,2.481,2.486
2.483,2.153,2.518,2.237,2.51,2.513,2.522,2.428,2.907,1.279,1.055,1.203,1.254,1.256,1.259,1.264,1.269,1.272,2.481,0.608,0.606,0.604,0.601,0.602,0.607,0.605,1.99,2.179,0.292,0.296,0.293,0.294,0.296,0.292,2.216,2.485
2.39,2.518,2.518,2.509,2.394,2.236,2.299,2.516,2.761,1.28,1.264,1.178,1.093,1.255,1.258,1.264,1.268,1.272,2.48,0.61,0.605,0.52,0.6,0.478,0.606,0.607,2.177,2.179,0.29,0.294,0.294,0.253,0.296,0.228,2.481,2.487
2.47,2.517,2.446,2.225,2.511,2.513,2.521,2.229,2.895,1.162,1.062,1.257,0.993,1.181,1.258,1.263,1.269,1.272,2.48,0.607,0.606,0.604,0.601,0.602,0.606,0.605,2.18,2.068,0.292,0.294,0.293,0.294,0.23,0.292,2.482,2.485
2.483,2.33,2.517,2.391,2.225,2.515,2.456,2.23,3.012,1.28,1.039,1.257,1.136,1.256,1.258,1.264,1.268,1.272,2.48,0.608,0.568,0.602,0.555,0.601,0.606,0.607,2.18,2.178,0.29,0.295,0.294,0.269,0.296,0.293,2.482,2.486
2.485,2.516,2.233,2.509,2.224,2.513,2.457,2.114,3.135,1.28,1.065,1.257,1.255,1.049,1.258,1.264,1.009,1.272,2.398,0.608,0.606,0.604,0.603,0.603,0.606,0.605,1.894,2.174,0.292,0.295,0.292,0.294,0.296,0.261,2.481,1.958
2.053,2.233,2.442,2.51,2.511,2.512,2.522,2.503,3.113,1.28,1.21,1.258,1.256,1.191,0.98,1.054,1.152,1.272,2.48,0.501,0.605,0.539,0.6,0.601,0.606,0.606,2.18,2.172,0.29,0.295,0.293,0.293,0.294,0.293,2.356,2.486
2.204,2.518,2.518,2.259,2.245,2.389,2.299,2.368,2.725,1.28,1.076,1.258,1.256,1.187,1.258,1.056,1.269,1.273,2.294,0.609,0.606,0.604,0.468,0.603,0.605,0.498,2.107,2.171,0.292,0.294,0.245,0.294,0.23,0.292,2.211,2.486
2.344,2.426,2.232,2.344,2.225,2.513,2.236,2.518,2.748,1.28,1.263,1.258,1.256,1.186,1.258,1.205,1.143,1.273,2.26,0.607,0.533,0.539,0.6,0.601,0.606,0.606,2.177,1.9,0.228,0.294,0.293,0.293,0.267,0.293,2.194,2.486
2.475,2.517,2.518,2.511,1.96,2.513,2.521,2.516,2.894,1.28,1.264,1.081,1.257,1.256,1.258,1.264,1.269,1.272,2.48,0.609,0.606,0.47,0.601,0.602,0.605,0.605,2.174,2.168,0.292,0.293,0.293,0.294,0.296,0.262,2.48,2.486
2.482,2.517,2.038,2.226,2.511,2.228,2.521,2.517,3.298,1.28,1.231,1.258,1.113,1.256,1.258,1.03,1.268,1.271,2.48,0.607,0.538,0.52,0.544,0.602,0.607,0.606,2.176,1.882,0.292,0.295,0.293,0.293,0.294,0.293,2.479,2.353
2.481,2.519,2.517,2.464,1.958,2.127,2.521,2.376,3.296,1.28,1.264,1.258,1.256,1.256,1.258,1.263,1.269,1.058,2.48,0.608,0.607,0.47,0.468,0.469,0.484,0.472,2.08,2.124,0.292,0.293,0.293,0.229,0.296,0.292,2.139,2.487
2.482,2.406,2.517,2.51,2.511,2.514,2.521,2.233,3.051,1.279,1.264,1.236,1.256,1.255,1.034,1.263,1.269,1.271,2.48,0.607,0.605,0.603,0.543,0.603,0.607,0.603,1.931,1.892,0.227,0.295,0.293,0.25,0.296,0.293,2.479,2.486
2.256,2.518,2.517,2.51,2.247,2.422,2.519,2.52,3.196,1.279,1.263,1.258,1.256,1.256,1.259,1.263,1.268,1.054,2.194,0.609,0.606,0.604,0.601,0.601,0.492,0.607,1.781,2.177,0.292,0.295,0.293,0.229,0.296,0.292,2.479,2.187
2.481,2.517,2.338,2.51,2.511,1.996,2.353,2.516,3.297,1.279,1.248,1.258,1.132,1.192,1.053,1.264,1.141,1.271,1.989,0.609,0.522,0.602,0.504,0.603,0.606,0.605,2.179,2.177,0.292,0.294,0.269,0.293,0.296,0.293,1.991,2.484
2.43,2.386,2.279,2.226,2.258,2.229,2.235,2.519,3.208,1.279,1.121,1.258,1.255,1.256,1.258,1.263,1.268,1.27,2.479,0.485,0.472,0.604,0.601,0.601,0.605,0.607,1.762,1.889,0.292,0.294,0.295,0.294,0.296,0.292,2.479,2.486
2.482,2.518,2.338,2.3,2.343,2.514,2.52,2.505,3.074,1.279,0.991,1.257,1.256,1.256,1.258,1.264,1.267,1.27,2.48,0.61,0.605,0.604,0.6,0.602,0.606,0.584,2.179,2.176,0.292,0.294,0.293,0.293,0.23,0.293,2.193,2.485
2.106,2.518,2.517,2.225,2.225,2.427,2.236,2.517,3.223,1.279,1.264,1.258,0.992,1.056,1.227,1.187,1.268,1.228,2.48,0.506,0.606,0.599,0.601,0.475,0.489,0.607,2.178,2.176,0.292,0.295,0.294,0.294,0.296,0.292,2.48,2.171
2.228,2.086,2.419,2.29,2.132,2.228,2.382,2.516,3.091,1.017,1.264,1.258,1.256,1.256,1.258,1.264,1.145,1.271,2.195,0.609,0.605,0.604,0.6,0.604,0.606,0.575,1.892,2.108,0.292,0.293,0.294,0.293,0.296,0.293,2.48,2.485
2.071,2.518,2.233,2.51,2.224,2.139,2.523,2.35,2.952,1.28,1.181,1.258,1.241,1.072,1.246,1.062,1.004,1.015,2.407,0.607,0.606,0.602,0.601,0.485,0.605,0.607,2.175,1.962,0.292,0.294,0.295,0.294,0.294,0.292,2.481,2.486
2.471,2.518,2.518,2.29,2.51,2.513,2.237,2.516,3.1,1.281,1.199,0.987,1.256,1.015,1.11,1.264,1.269,1.269,2.481,0.609,0.605,0.604,0.475,0.604,0.472,0.605,1.892,2.172,0.292,0.293,0.295,0.293,0.296,0.293,1.986,2.2
