2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
2.482,2.511,2.518,2.51,2.224,2.513,2.521,2.321,2.987,1.277,1.265,1.116,1.256,1.256,1.258,1.223,1.095,1.147,1.989,0.607,0.605,0.602,0.601,0.603,0.605,0.607,2.18,2.177,0.292,0.289,0.293,0.293,0.296,0.228,2.479,2.32
2.194,2.51,2.428,2.512,2.509,2.418,2.082,2.232,3.292,1.278,1.265,1.258,1.022,1.256,1.258,1.078,1.267,1.27,2.14,0.609,0.603,0.604,0.6,0.601,0.604,0.605,1.891,2.179,0.237,0.295,0.293,0.294,0.296,0.229,2.341,2.244
2.194,2.51,2.518,2.383,2.224,2.228,2.518,2.516,2.721,1.097,1.265,1.258,1.07,1.256,1.258,1.22,1.111,1.27,2.478,0.54,0.606,0.598,0.602,0.603,0.605,0.607,2.178,2.177,0.292,0.267,0.293,0.293,0.296,0.293,2.485,2.315
1.969,1.969,2.445,2.507,2.51,2.075,2.52,2.516,3.292,1.277,1.264,1.012,1.223,1.048,1.258,1.076,1.268,1.27,2.48,0.609,0.597,0.604,0.6,0.514,0.605,0.478,2.176,1.893,0.29,0.294,0.293,0.229,0.296,0.293,2.063,2.487
2.326,2.513,2.447,2.512,2.51,2.514,2.524,2.084,2.723,1.279,1.264,1.166,1.256,1.256,1.258,1.264,1.268,1.27,2.48,0.607,0.606,0.604,0.601,0.603,0.604,0.607,2.162,2.179,0.292,0.293,0.293,0.294,0.296,0.293,2.485,2.301
2.478,2.501,2.518,2.512,2.253,2.513,2.099,2.518,3.155,1.279,1.265,1.258,1.255,1.256,1.258,1.264,1.267,1.271,2.479,0.609,0.606,0.602,0.6,0.601,0.605,0.607,2.005,2.179,0.29,0.294,0.293,0.294,0.296,0.293,2.197,2.487
2.344,2.203,2.052,2.226,2.224,2.513,2.249,2.518,3.296,1.09,1.253,1.195,1.256,1.19,1.139,1.264,1.267,1.177,2.479,0.607,0.604,0.604,0.601,0.603,0.604,0.605,2.138,2.178,0.292,0.294,0.293,0.294,0.296,0.293,2.484,2.283
2.196,2.512,2.518,2.512,2.225,2.124,2.522,2.518,3.161,1.279,1.265,1.258,1.256,1.191,1.011,1.057,1.269,1.271,2.194,0.609,0.606,0.602,0.6,0.601,0.605,0.607,2.176,2.176,0.291,0.294,0.293,0.294,0.295,0.293,2.059,2.201
2.257,2.481,2.518,2.511,2.224,2.513,2.521,2.406,3.295,1.28,1.265,1.226,1.12,1.256,1.258,1.264,1.267,1.27,1.999,0.584,0.491,0.604,0.601,0.469,0.473,0.584,1.891,2.177,0.292,0.294,0.292,0.295,0.296,0.293,2.483,2.486
2.48,2.512,2.489,2.234,2.509,2.146,2.521,2.485,3.133,1.28,1.265,1.094,1.255,1.036,1.258,1.264,1.268,1.272,2.479,0.609,0.606,0.602,0.533,0.601,0.47,0.607,1.99,2.174,0.29,0.294,0.293,0.295,0.23,0.293,2.483,2.485
