0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
1.075,2.929,0.296,0.299,0.272,0.299,0.297,0.297,1.305,2.483,0.592,0.594,0.591,0.589,0.59,0.592,0.595,3.008,3.01,1.007,1.251,0.974,1.068,1.05,1.093,1.252,2.482,2.482,2.45,2.508,4.355,2.498,2.131,2.502,3.137,3.299
1.106,3.293,0.295,0.299,0.298,0.299,0.297,0.297,1.305,2.235,0.591,0.488,0.59,0.59,0.467,0.594,0.543,3.058,3.263,1.263,1.251,1.135,1.246,1.213,1.256,1.121,2.151,2.482,2.484,2.505,4.353,2.275,2.503,2.504,3.025,3.299
0.97,3.275,0.297,0.299,0.298,0.299,0.295,0.232,1.306,2.394,0.592,0.594,0.59,0.589,0.59,0.592,0.595,3.294,3.295,1.264,1.251,1.249,1.09,1.248,1.113,1.26,2.482,2.288,2.227,2.017,4.351,2.429,2.218,2.503,2.881,3.3
1.114,2.88,0.296,0.299,0.298,0.299,0.231,0.29,1.125,2.482,1.892,0.592,0.533,0.459,0.589,0.594,0.55,3.294,3.294,1.263,1.141,1.248,1.246,1.249,0.988,1.26,2.465,2.445,2.198,2.507,4.64,2.497,2.337,2.504,3.301,2.726
0.955,3.293,0.295,0.299,0.298,0.299,0.263,0.298,1.264,2.428,0.562,0.462,0.59,0.589,0.59,0.594,0.595,2.99,3.133,1.001,1.253,1.248,1.246,1.094,1.255,1.025,2.198,2.028,2.222,2.508,4.43,2.497,2.503,2.507,3.014,2.76
1.082,3.007,0.297,0.252,0.298,0.299,0.231,0.232,1.305,2.197,1.89,0.592,0.589,0.59,0.589,0.489,0.576,3.007,3.12,1.263,1.058,1.249,1.246,1.0,1.255,1.26,2.485,2.197,2.389,2.179,4.353,2.399,2.086,2.504,3.301,3.195
1.085,3.098,0.297,0.299,0.298,0.299,0.295,0.298,1.305,2.164,1.888,0.594,0.59,0.569,0.59,0.594,0.595,3.114,3.292,1.263,1.253,1.248,1.247,1.161,1.255,1.261,2.484,2.055,1.982,2.224,4.457,2.497,2.502,2.504,2.876,3.063
1.069,2.721,0.296,0.241,0.235,0.299,0.297,0.298,1.305,2.386,0.593,0.592,0.59,0.59,0.589,0.592,0.595,3.293,3.294,1.055,1.252,1.248,1.247,1.248,1.254,1.26,2.482,2.216,2.139,4.403,4.355,2.346,2.503,2.504,3.134,3.011
1.057,3.292,0.295,0.299,0.298,0.298,0.289,0.298,1.304,2.198,0.472,0.594,0.463,0.586,0.59,0.594,0.593,3.294,3.293,1.064,1.253,1.248,1.149,1.248,1.191,1.26,2.317,2.482,2.486,4.8,4.352,2.498,2.272,2.503,3.155,3.298
1.094,3.294,0.294,0.299,0.268,0.299,0.297,0.232,1.175,2.484,0.593,0.594,0.59,0.59,0.572,0.592,0.595,3.293,3.074,1.22,1.252,1.247,1.247,1.249,1.254,1.234,2.197,2.481,2.173,4.673,4.405,2.212,2.429,2.446,3.293,3.211
1.105,3.179,0.295,0.299,0.298,0.282,0.297,0.232,1.303,2.485,0.593,0.593,0.589,0.59,0.59,0.594,0.594,2.789,2.94,1.263,1.253,1.248,1.247,1.229,1.207,1.26,2.278,2.482,2.486,4.542,4.355,2.497,2.011,2.219,2.73,3.013
0.873,3.293,0.294,0.299,0.297,0.299,0.297,0.298,1.303,2.484,0.479,0.594,0.592,0.47,0.59,0.592,0.463,2.94,2.806,1.263,1.252,1.248,1.247,1.248,1.254,1.262,2.403,2.482,2.487,4.405,4.927,2.337,2.502,2.505,3.287,2.725
1.162,3.217,0.295,0.299,0.298,0.299,0.297,0.298,1.303,2.483,0.593,0.493,0.511,0.59,0.589,0.594,0.594,2.815,3.232,1.263,1.253,1.248,1.018,1.25,1.007,1.26,2.197,2.447,2.486,4.549,4.354,2.498,2.5,2.066,3.141,3.298
0.93,3.094,0.294,0.299,0.298,0.299,0.231,0.298,1.303,2.484,0.591,0.594,0.59,0.485,0.59,0.594,0.595,3.292,3.295,0.99,1.001,1.248,1.248,1.248,1.255,1.26,2.483,2.384,2.256,4.41,4.357,2.498,2.477,2.508,3.299,3.011
1.164,3.17,0.295,0.298,0.298,0.299,0.297,0.296,1.059,2.485,0.593,0.524,0.589,0.59,0.589,0.47,0.594,3.293,2.723,1.263,1.253,1.007,1.247,1.003,1.254,1.261,2.485,2.198,2.135,4.358,4.356,2.265,2.501,2.508,3.136,3.087
0.947,3.293,0.297,0.299,0.298,0.299,0.297,0.298,1.303,2.108,0.506,0.594,0.59,0.508,0.59,0.593,0.595,3.008,3.296,1.007,1.252,1.248,1.247,1.165,1.254,1.26,2.096,2.347,2.485,4.358,4.358,2.497,2.501,2.508,2.993,2.949
1.165,3.006,0.297,0.271,0.298,0.299,0.297,0.297,1.077,2.262,0.594,0.592,0.589,0.59,0.589,0.492,0.595,3.16,2.977,1.083,1.252,1.249,1.247,1.18,1.256,1.26,2.26,2.476,2.177,4.843,4.642,2.297,2.339,2.222,2.852,3.012
1.166,2.887,0.297,0.299,0.298,0.299,0.297,0.298,1.304,2.291,0.594,0.594,0.59,0.589,0.459,0.593,0.584,3.008,3.014,1.262,1.251,1.248,1.247,1.194,1.254,1.26,2.199,2.099,2.048,4.414,4.357,2.167,2.501,2.274,3.299,2.961
1.261,3.007,0.295,0.292,0.299,0.299,0.297,0.252,1.304,2.278,0.592,0.585,0.577,0.59,0.589,0.591,0.595,3.222,2.987,1.262,1.251,1.248,1.247,1.248,1.254,1.261,2.402,2.254,2.212,4.847,4.358,2.327,2.5,2.506,3.143,3.297
1.242,2.935,0.297,0.299,0.299,0.298,0.296,0.232,1.256,2.484,0.462,0.594,0.59,0.589,0.59,0.593,0.593,3.293,3.135,1.262,1.252,1.04,1.247,1.249,1.255,1.26,2.485,2.409,2.337,4.359,4.709,2.498,2.501,2.289,3.287,3.011
1.317,2.819,0.295,0.299,0.238,0.299,0.298,0.297,1.122,2.483,0.591,0.594,0.592,0.59,0.589,0.592,0.595,3.005,2.999,1.262,1.229,1.248,1.009,1.249,1.013,1.262,2.484,2.274,2.485,4.851,4.856,2.498,2.501,2.501,3.302,3.299
1.317,3.292,0.297,0.299,0.299,0.275,0.296,0.298,1.303,2.484,0.593,0.593,0.469,0.59,0.459,0.593,0.593,3.291,3.15,1.261,1.252,1.248,1.051,1.248,1.164,1.261,2.216,2.197,2.394,4.358,4.72,2.23,2.503,5.755,3.301,3.298
1.27,3.008,0.297,0.299,0.298,0.299,0.298,0.298,1.303,2.3,0.591,0.594,0.59,0.464,0.59,0.55,0.594,3.288,3.295,1.261,1.252,1.248,1.037,1.248,1.035,1.261,2.483,2.29,2.486,4.861,2.319,2.383,2.226,2.499,2.862,3.299
1.143,2.735,0.297,0.299,0.299,0.299,0.298,0.298,1.018,2.484,0.593,0.592,0.589,0.59,0.589,0.593,0.592,3.291,2.884,1.116,1.11,1.248,1.194,1.248,1.189,1.261,2.219,2.483,2.201,4.437,2.275,2.496,2.102,2.497,3.3,3.279
1.286,3.294,0.297,0.299,0.298,0.299,0.298,0.298,1.304,2.483,0.591,0.594,0.59,0.589,0.59,0.591,0.594,2.765,3.031,1.262,1.251,1.248,1.246,1.248,1.172,1.082,2.483,2.392,2.486,4.869,2.497,2.496,2.216,2.203,2.731,2.863
1.124,3.295,0.295,0.299,0.299,0.299,0.298,0.298,1.303,2.484,0.593,0.593,0.589,0.59,0.588,0.593,0.594,3.293,2.723,1.261,1.252,1.19,1.246,1.248,1.254,1.261,2.483,2.176,2.441,4.447,2.42,2.497,2.216,2.361,3.301,3.135
1.346,2.924,0.297,0.299,0.288,0.299,0.298,0.298,1.189,2.197,0.592,0.594,0.59,0.589,0.59,0.591,0.592,3.007,3.296,1.262,1.252,1.249,1.246,1.248,1.254,1.261,2.41,2.483,2.021,4.358,2.461,2.497,2.502,2.498,2.732,3.297
1.051,3.293,0.274,0.299,0.298,0.299,0.298,0.298,1.257,2.483,0.594,0.553,0.589,0.59,0.589,0.593,0.594,3.293,2.915,1.169,1.252,1.248,1.246,1.136,1.254,1.262,2.482,2.484,2.485,4.357,2.326,2.497,2.501,2.499,3.304,3.117
1.197,3.007,0.297,0.299,0.296,0.299,0.282,0.298,1.302,2.482,0.581,0.594,0.59,0.589,0.59,0.586,0.592,3.294,3.071,1.202,1.155,0.992,1.109,1.242,1.255,1.077,2.198,2.48,2.327,4.356,2.215,2.495,2.502,2.497,3.14,3.298
0.982,3.294,0.297,0.299,0.298,0.299,0.298,0.298,1.089,2.199,0.594,0.573,0.589,0.59,0.59,0.593,0.594,2.995,3.217,1.262,1.253,1.115,0.977,1.248,0.986,1.262,2.038,2.481,2.485,4.744,2.043,2.053,2.502,2.497,3.296,3.299
1.19,3.263,0.296,0.299,0.298,0.271,0.278,0.298,1.304,2.196,0.594,0.594,0.459,0.589,0.571,0.593,0.594,2.722,3.065,1.262,1.253,1.248,1.246,1.248,1.113,1.19,2.485,2.197,2.352,4.889,2.185,2.497,2.503,2.21,3.158,3.012
1.189,3.139,0.297,0.298,0.232,0.299,0.298,0.298,1.302,1.932,0.593,0.594,0.589,0.591,0.59,0.478,0.592,3.292,3.295,1.262,1.253,1.248,1.012,1.248,1.255,1.26,2.076,1.982,2.486,4.464,2.33,2.496,2.212,2.211,3.017,3.061
1.121,3.007,0.297,0.299,0.298,0.299,0.298,0.298,1.303,2.483,0.594,0.587,0.59,0.498,0.524,0.593,0.594,3.005,3.295,1.088,1.253,1.249,1.246,1.248,1.255,1.26,2.483,2.482,2.377,2.542,2.497,1.965,2.502,2.282,2.733,3.211
1.173,3.006,0.297,0.274,0.298,0.299,0.232,0.298,1.159,2.46,0.592,0.594,0.59,0.591,0.59,0.591,0.594,3.007,2.968,1.263,1.253,1.248,1.247,1.248,1.226,1.147,2.388,2.483,2.249,3.003,2.495,2.495,2.216,2.495,3.02,3.013
1.218,2.78,0.257,0.299,0.232,0.299,0.298,0.298,1.032,2.307,0.594,0.592,0.589,0.589,0.564,0.593,0.463,3.233,3.119,1.263,1.253,1.248,1.247,1.248,1.158,1.26,2.484,2.457,2.485,2.833,2.488,2.287,2.503,2.295,3.139,3.297
1.22,3.006,0.297,0.298,0.296,0.298,0.297,0.298,1.304,1.974,0.537,0.594,0.59,0.59,0.59,0.543,0.593,3.008,2.981,1.264,1.253,1.193,1.145,0.997,1.025,1.26,2.286,2.482,2.485,2.692,2.495,2.277,1.983,2.498,3.304,2.803
1.218,2.822,0.295,0.299,0.298,0.233,0.298,0.298,1.304,2.485,0.594,0.593,0.588,0.556,0.59,0.592,0.595,2.976,2.722,1.126,1.253,1.069,1.225,1.248,1.177,1.26,2.484,2.204,2.485,2.549,2.494,2.033,2.501,2.499,2.731,3.297
