0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
5.68,0.34,0.31,0.3,0.28,0.32,0.31,0.35,5.65,5.66,0.62,0.55,0.54,0.59,0.59,0.61,0.61,0.66,1.19,1.15,1.15,1.14,1.15,1.2,1.16,1.18,5.69,5.63,2.34,2.35,2.35,2.31,2.35,2.35,2.32,5.65
5.68,0.34,0.31,0.3,0.32,0.28,0.31,0.35,5.68,5.65,0.57,0.55,0.5,0.55,0.59,0.61,0.61,0.68,1.2,1.16,1.2,1.19,1.15,1.15,1.16,1.13,5.68,5.68,2.34,2.36,2.27,2.31,2.3,2.3,2.33,5.68
5.65,0.3,0.31,0.27,0.32,0.32,0.31,0.35,5.65,5.68,0.62,0.56,0.55,0.61,0.59,0.61,0.61,0.61,1.19,1.15,1.15,1.14,1.19,1.16,1.17,1.18,5.68,5.68,2.33,2.35,2.31,2.31,2.31,2.36,2.33,5.65
5.68,0.3,0.31,0.3,0.32,0.32,0.31,0.31,5.63,5.63,0.57,0.6,0.55,0.56,0.54,0.56,0.61,0.69,1.19,1.11,1.15,1.15,1.1,1.16,1.2,1.18,5.66,5.7,2.38,2.31,2.31,2.34,2.35,2.31,2.38,5.65
5.68,0.3,0.28,0.3,0.32,0.32,0.31,0.35,5.68,5.68,0.52,0.6,0.55,0.52,0.59,0.61,0.61,0.6,1.19,1.15,1.15,1.15,1.15,1.15,1.21,1.22,5.68,5.68,2.34,2.32,2.31,2.3,2.26,2.35,2.34,5.7
5.68,0.3,0.31,0.27,0.27,0.32,0.28,0.35,5.68,5.68,0.57,0.6,0.59,0.61,0.59,0.61,0.61,0.66,1.15,1.11,1.15,1.19,1.2,1.15,1.2,1.18,5.7,5.68,2.38,2.3,2.35,2.34,2.31,2.3,2.32,5.68
5.66,0.34,0.31,0.27,0.27,0.28,0.28,0.35,5.68,5.68,0.57,0.55,0.59,0.56,0.54,0.57,0.56,0.68,1.18,1.16,1.16,1.14,1.15,1.2,1.16,1.17,5.68,5.7,2.35,2.32,2.31,2.31,2.31,2.32,2.34,5.65
5.68,0.34,0.31,0.3,0.32,0.32,0.28,0.35,5.66,5.68,0.62,0.6,0.54,0.61,0.54,0.61,0.61,0.66,1.2,1.16,1.15,1.19,1.15,1.1,1.17,1.22,5.7,5.7,2.39,2.32,2.35,2.34,2.35,2.27,2.33,5.68
5.68,0.3,0.31,0.3,0.28,0.32,0.31,0.31,5.69,5.68,0.62,0.56,0.55,0.59,0.49,0.55,0.61,0.68,1.23,1.2,1.15,1.14,1.15,1.1,1.2,1.22,5.65,5.69,2.33,0.61,2.31,2.31,2.3,2.31,2.34,5.63
5.68,0.3,0.31,0.3,0.28,0.32,0.28,0.31,5.7,5.69,0.61,0.5,0.5,0.55,0.54,0.6,0.61,0.67,1.24,1.16,1.2,1.14,1.2,1.2,1.16,1.18,5.65,5.68,2.29,2.22,2.31,2.31,2.3,2.32,2.34,5.7
5.68,0.34,0.31,0.27,0.28,0.32,0.28,0.35,5.65,5.69,0.58,0.6,0.54,0.5,0.54,0.56,0.61,0.62,1.19,1.16,1.2,1.19,1.15,1.15,1.16,1.18,5.7,5.69,2.35,0.66,2.31,2.31,2.35,2.32,2.34,5.66
5.68,0.34,0.31,0.3,0.32,0.32,0.31,0.35,5.68,5.68,0.57,0.6,0.59,0.59,0.54,0.61,0.61,0.63,1.19,1.17,1.15,1.19,1.15,1.16,1.16,1.18,5.68,5.68,2.33,2.22,2.3,2.3,2.31,2.32,2.33,5.65
5.68,0.34,0.31,0.27,0.28,0.32,0.31,0.35,5.68,5.63,0.57,0.55,0.5,0.59,0.54,0.61,0.61,0.68,1.19,1.16,1.15,1.14,1.19,1.15,1.17,1.22,5.68,5.66,2.33,2.32,2.3,2.26,2.31,2.32,2.34,5.68
5.69,0.3,0.31,0.3,0.28,0.32,0.28,0.31,5.63,5.66,0.57,0.6,0.55,0.54,0.54,0.51,0.56,0.59,1.2,1.15,1.15,1.14,1.15,1.2,1.16,1.22,5.69,5.68,2.34,2.3,2.31,2.31,2.31,2.32,2.34,5.68
5.68,0.34,0.31,0.27,0.28,0.32,0.31,0.31,5.68,5.66,0.57,0.6,0.55,0.55,0.59,0.56,0.61,0.61,1.19,1.16,1.15,1.14,1.19,1.15,1.16,1.22,5.69,5.69,2.38,2.35,2.3,2.3,2.31,2.36,2.32,5.69
5.65,0.34,0.31,0.3,0.32,0.32,0.28,0.31,5.63,5.65,0.62,0.6,0.55,0.59,0.54,0.56,0.61,0.68,1.2,1.2,1.15,1.1,1.2,1.16,1.16,1.18,5.68,5.68,2.34,2.32,2.31,2.31,2.3,2.32,2.33,5.66
5.68,0.34,0.31,0.3,0.28,0.32,0.31,0.31,5.68,5.7,0.57,0.55,0.54,0.5,0.59,0.61,0.51,0.58,1.19,1.11,1.15,1.15,1.14,1.16,1.2,1.19,5.68,5.68,2.38,2.31,2.35,2.3,2.31,2.32,2.33,5.64
