2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.604,2.6,2.594,2.131,2.41,2.588,2.592,2.589,2.541,1.127,1.343,1.341,1.335,1.335,1.338,1.284,1.118,1.355,0.685,0.685,0.682,0.656,0.673,0.676,0.679,0.684,0.684,1.39,0.358,0.359,0.355,0.355,0.358,0.362,0.373,0.999
2.608,2.314,2.436,2.59,2.539,2.516,2.178,2.493,2.255,1.346,1.308,1.341,1.335,1.335,1.338,1.34,1.347,1.356,0.685,0.686,0.683,0.678,0.674,0.674,0.678,0.682,0.687,1.387,0.358,0.359,0.354,0.355,0.357,0.335,0.354,0.868
2.606,2.599,2.309,2.589,2.095,2.589,2.593,2.34,2.295,1.27,1.165,1.341,1.335,1.335,1.337,1.342,1.348,1.357,0.686,0.595,0.682,0.677,0.673,0.676,0.679,0.684,0.684,1.388,0.357,0.358,0.356,0.276,0.358,0.362,0.373,1.003
2.607,2.366,2.593,2.589,2.3,2.358,2.593,2.589,2.541,1.27,1.079,1.341,1.149,1.335,1.223,1.342,1.348,1.357,0.685,0.687,0.683,0.679,0.675,0.674,0.552,0.683,0.543,1.388,0.358,0.359,0.355,0.354,0.357,0.362,0.373,1.003
2.606,2.599,2.308,2.59,2.524,2.215,2.581,2.589,2.541,1.347,1.343,1.341,1.335,1.336,1.338,1.342,1.348,1.357,0.686,0.685,0.576,0.598,0.585,0.676,0.679,0.684,0.686,1.388,0.32,0.295,0.355,0.354,0.358,0.362,0.373,1.005
2.608,2.6,2.534,2.477,2.302,2.529,2.307,2.59,2.255,1.345,1.307,1.34,1.054,1.282,1.338,1.342,1.222,1.131,0.685,0.686,0.683,0.678,0.674,0.674,0.564,0.682,0.559,1.153,0.358,0.359,0.355,0.354,0.341,0.362,0.29,1.006
2.321,2.436,2.593,2.569,2.586,2.494,2.593,2.587,2.54,1.345,1.342,1.2,1.335,1.335,1.282,1.342,1.348,1.29,0.685,0.685,0.682,0.625,0.564,0.676,0.679,0.684,0.685,1.309,0.358,0.328,0.354,0.355,0.358,0.361,0.373,0.904
2.608,2.553,2.596,2.59,2.587,2.588,2.124,2.589,2.541,1.276,1.082,1.315,1.07,1.094,1.337,1.21,1.348,1.165,0.684,0.685,0.683,0.678,0.675,0.674,0.678,0.647,0.685,1.387,0.358,0.359,0.355,0.354,0.357,0.362,0.373,1.005
2.322,2.097,2.172,2.589,2.314,2.589,2.592,2.571,2.542,1.346,1.343,1.162,1.155,1.335,1.336,1.341,1.346,1.356,0.533,0.687,0.591,0.677,0.653,0.674,0.679,0.684,0.685,1.342,0.358,0.358,0.354,0.354,0.358,0.36,0.372,1.007
2.379,2.599,2.595,2.472,2.587,2.588,2.4,2.304,2.54,1.347,1.343,1.341,1.335,1.335,1.337,1.179,1.347,1.358,0.685,0.556,0.683,0.678,0.675,0.676,0.677,0.683,0.6,1.214,0.284,0.359,0.355,0.355,0.358,0.362,0.373,0.852
2.189,2.041,2.594,2.304,2.569,2.486,2.593,2.56,2.542,1.262,1.214,1.244,1.335,1.336,1.337,1.341,1.348,1.066,0.684,0.687,0.6,0.677,0.53,0.674,0.679,0.683,0.533,1.087,0.358,0.357,0.354,0.354,0.358,0.349,0.336,1.008
2.281,2.6,2.269,2.382,2.587,2.588,2.099,2.59,2.256,1.282,1.343,1.341,1.335,1.335,1.251,1.342,1.18,1.222,0.685,0.685,0.683,0.527,0.673,0.526,0.61,0.684,0.591,1.387,0.356,0.359,0.354,0.353,0.358,0.362,0.374,1.007
2.607,2.564,2.31,2.59,2.587,2.4,2.521,2.547,2.262,1.151,1.214,1.34,1.335,1.117,1.259,1.057,1.348,1.325,0.611,0.687,0.614,0.678,0.675,0.674,0.68,0.683,0.685,1.13,0.358,0.359,0.355,0.354,0.358,0.362,0.372,1.007
2.607,2.402,2.514,2.536,2.489,2.345,2.367,2.397,2.541,1.347,1.343,1.132,1.335,1.335,1.113,1.196,1.231,1.245,0.685,0.685,0.683,0.677,0.673,0.526,0.627,0.532,0.66,1.387,0.358,0.359,0.324,0.353,0.358,0.362,0.374,0.809
2.606,2.527,2.353,2.196,2.587,2.303,2.593,2.305,2.539,1.346,1.343,1.291,1.335,1.335,1.338,1.054,1.347,1.356,0.683,0.687,0.682,0.678,0.675,0.61,0.68,0.681,0.685,1.161,0.358,0.359,0.355,0.354,0.356,0.362,0.374,1.001
2.607,2.601,2.593,2.043,2.301,2.347,2.593,2.506,2.54,1.348,1.343,1.341,1.335,1.261,1.338,1.341,1.348,1.15,0.685,0.685,0.683,0.677,0.672,0.676,0.679,0.683,0.535,1.144,0.358,0.359,0.355,0.353,0.278,0.362,0.373,0.999
2.606,2.601,2.593,2.589,2.587,2.485,2.592,2.59,2.253,1.169,1.343,1.341,1.335,1.247,1.238,1.342,1.348,1.356,0.685,0.687,0.682,0.678,0.524,0.675,0.68,0.681,0.684,1.388,0.356,0.359,0.355,0.354,0.355,0.362,0.374,0.994
2.606,2.028,2.594,2.021,2.302,2.588,2.04,2.591,2.376,1.348,1.056,1.341,1.335,1.335,1.338,1.342,1.347,1.356,0.57,0.685,0.683,0.677,0.672,0.676,0.667,0.683,0.685,1.386,0.358,0.291,0.355,0.316,0.357,0.361,0.373,0.989
2.485,2.601,2.308,2.59,2.587,2.482,2.467,2.219,2.252,1.176,1.195,1.341,1.094,1.335,1.337,1.34,1.118,1.15,0.685,0.687,0.682,0.678,0.523,0.656,0.673,0.597,0.683,1.243,0.356,0.359,0.335,0.354,0.355,0.362,0.373,0.971
2.32,2.6,2.309,2.59,2.586,2.336,2.592,2.304,2.536,1.349,1.326,1.184,1.334,1.294,1.338,1.19,1.348,1.107,0.684,0.635,0.683,0.626,0.673,0.526,0.68,0.684,0.685,1.347,0.358,0.358,0.355,0.339,0.278,0.361,0.372,0.982
