2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.422,2.6,2.309,2.03,2.302,2.486,2.593,2.303,1.981,1.143,1.262,1.252,1.335,1.198,1.145,1.248,1.347,1.117,0.685,0.687,0.683,0.677,0.673,0.674,0.605,0.683,0.685,1.392,0.358,0.359,0.275,0.354,0.358,0.361,0.373,1.01
2.602,2.466,2.593,2.59,2.586,2.537,2.593,2.453,2.54,1.121,1.343,1.1,1.335,1.333,1.336,1.342,1.227,1.357,0.613,0.662,0.583,0.676,0.672,0.526,0.68,0.681,0.566,1.128,0.358,0.359,0.354,0.354,0.358,0.362,0.372,1.011
2.603,2.281,2.594,2.267,2.056,2.385,2.161,2.303,2.274,1.124,1.25,1.235,1.335,1.194,1.336,1.248,1.347,1.357,0.685,0.687,0.683,0.676,0.673,0.675,0.616,0.682,0.685,1.391,0.321,0.358,0.354,0.301,0.358,0.361,0.373,1.012
2.603,2.315,2.595,2.303,2.418,2.524,2.583,2.303,2.256,1.262,1.343,1.342,1.335,1.335,1.277,1.342,1.186,1.13,0.571,0.669,0.591,0.677,0.672,0.676,0.68,0.587,0.616,1.142,0.358,0.359,0.354,0.354,0.358,0.362,0.372,0.911
2.032,2.6,2.229,2.227,2.586,2.509,2.595,2.573,2.541,1.347,1.241,1.228,1.335,1.335,1.336,1.247,1.345,1.357,0.686,0.685,0.683,0.566,0.673,0.675,0.576,0.683,0.685,1.288,0.358,0.358,0.354,0.353,0.357,0.361,0.374,1.007
2.608,2.6,2.554,2.303,2.43,2.514,2.278,2.465,2.541,1.259,1.093,1.342,1.335,1.335,1.337,1.342,1.347,1.357,0.533,0.685,0.681,0.677,0.672,0.526,0.68,0.682,0.684,1.32,0.358,0.359,0.354,0.354,0.358,0.362,0.372,1.004
2.541,2.476,2.429,2.589,2.586,2.365,2.408,2.334,2.541,1.347,1.343,1.223,1.248,1.211,1.078,1.342,1.059,1.356,0.562,0.685,0.683,0.676,0.673,0.674,0.554,0.683,0.686,1.392,0.358,0.359,0.353,0.354,0.357,0.36,0.374,1.004
2.609,2.314,2.59,2.585,2.392,2.499,2.309,2.589,2.414,1.346,1.343,1.342,1.335,1.336,1.336,1.341,1.19,1.357,0.685,0.685,0.607,0.677,0.569,0.676,0.68,0.681,0.682,1.164,0.356,0.359,0.354,0.354,0.358,0.362,0.373,0.782
2.191,2.6,2.593,2.423,2.231,2.302,2.594,2.588,1.982,1.348,1.343,1.342,1.335,1.24,1.337,1.342,1.346,1.357,0.684,0.685,0.531,0.676,0.673,0.674,0.533,0.683,0.685,1.391,0.358,0.359,0.352,0.354,0.357,0.362,0.373,1.006
2.609,2.263,2.594,2.589,2.586,2.2,2.595,2.511,2.254,1.348,1.091,1.342,1.335,1.276,1.337,1.341,1.208,1.357,0.685,0.687,0.682,0.677,0.578,0.676,0.679,0.682,0.686,1.183,0.356,0.358,0.354,0.354,0.357,0.362,0.373,0.794
2.407,2.314,2.595,2.589,2.586,2.555,2.518,2.588,2.54,1.105,1.342,1.342,1.153,1.13,1.336,1.341,1.347,1.356,0.642,0.553,0.683,0.676,0.673,0.674,0.68,0.683,0.685,1.391,0.358,0.279,0.354,0.354,0.357,0.281,0.29,1.008
2.522,2.6,2.392,2.588,2.035,2.589,2.517,2.588,2.401,1.347,1.343,1.341,1.301,1.335,1.149,1.341,1.212,1.355,0.685,0.687,0.681,0.678,0.672,0.525,0.679,0.631,0.687,1.268,0.358,0.326,0.354,0.353,0.295,0.362,0.374,1.009
2.608,2.6,2.342,2.304,2.587,2.026,2.52,2.487,2.536,1.346,1.342,1.342,1.205,1.249,1.337,1.341,1.347,1.211,0.684,0.685,0.683,0.675,0.673,0.584,0.68,0.531,0.685,1.355,0.358,0.359,0.354,0.355,0.278,0.362,0.374,1.013
2.606,2.601,2.435,2.588,2.284,2.59,2.594,2.587,2.254,1.346,1.343,1.075,1.334,1.264,1.337,1.341,1.348,1.357,0.534,0.687,0.682,0.677,0.602,0.676,0.677,0.682,0.687,1.222,0.358,0.359,0.353,0.353,0.303,0.36,0.374,1.012
